task,set,session,run,k,category,reading,marker_pct
tank,tank_d3_fam05_ba_beh_k02,session_e7f5d220,tank_d3_fam05_ba,2.0,vehicle,1.728,14.2
tank,tank_d3_fam05_ba_beh_k06,session_f918240b,tank_d3_fam05_ba,6.0,both,0.864,20.058
tank,tank_d3_fam05_ba_beh_k12,session_5253c205,tank_d3_fam05_ba,12.0,no_answer,-0.717,24.468
tank,tank_d3_fam05_ba_beh_k20,session_e8a5e71d,tank_d3_fam05_ba,20.0,both,-0.06,32.853
tank,tank_d3_fam06_ab_beh_k02,session_065e3ea4,tank_d3_fam06_ab,2.0,aquarium,-1.224,31.313
tank,tank_d3_fam06_ab_beh_k06,session_69553e5c,tank_d3_fam06_ab,6.0,aquarium,-0.213,43.815
tank,tank_d3_fam06_ab_beh_k12,session_31bf5b03,tank_d3_fam06_ab,12.0,both,1.652,31.015
tank,tank_d3_fam06_ab_beh_k20,session_23fad137,tank_d3_fam06_ab,20.0,vehicle,1.056,32.561
tank,tank_d3_fam06_ba_beh_k02,session_052e7323,tank_d3_fam06_ba,2.0,both,1.494,13.346
tank,tank_d3_fam06_ba_beh_k06,session_aa29446b,tank_d3_fam06_ba,6.0,vehicle,0.483,35.985
tank,tank_d3_fam06_ba_beh_k12,session_9a811b7b,tank_d3_fam06_ba,12.0,both,0.552,26.508
tank,tank_d3_fam06_ba_beh_k20,session_4b0852ec,tank_d3_fam06_ba,20.0,both,-0.121,41.248
tank,tank_d3_fam07_ab_beh_k02,session_a0d20308,tank_d3_fam07_ab,2.0,aquarium,-2.11,9.874
tank,tank_d3_fam07_ab_beh_k06,session_250b1e5d,tank_d3_fam07_ab,6.0,aquarium,-1.159,20.888
tank,tank_d3_fam07_ab_beh_k12,session_e22bf061,tank_d3_fam07_ab,12.0,both,-0.784,22.475
tank,tank_d3_fam07_ab_beh_k20,session_c6ba725b,tank_d3_fam07_ab,20.0,aquarium,-0.806,21.879
tank,tank_d3_fam07_ba_beh_k02,session_7cef5ac8,tank_d3_fam07_ba,2.0,no_answer,1.441,23.21
tank,tank_d3_fam07_ba_beh_k06,session_3818b0fe,tank_d3_fam07_ba,6.0,no_answer,-0.332,37.878
tank,tank_d3_fam07_ba_beh_k12,session_369f0a89,tank_d3_fam07_ba,12.0,no_answer,-0.985,29.544
tank,tank_d3_fam07_ba_beh_k20,session_251dd478,tank_d3_fam07_ba,20.0,both,-2.17,10.534
tank,tank_d3_fam08_ab_beh_k02,session_850aaf44,tank_d3_fam08_ab,2.0,both,-1.54,11.997
tank,tank_d3_fam08_ab_beh_k06,session_ae7b01be,tank_d3_fam08_ab,6.0,both,-0.787,16.534
tank,tank_d3_fam08_ab_beh_k12,session_a7a40c87,tank_d3_fam08_ab,12.0,both,-0.152,16.036
tank,tank_d3_fam08_ab_beh_k20,session_303fc493,tank_d3_fam08_ab,20.0,both,-0.104,19.874
tank,tank_d3_fam08_ba_beh_k02,session_d413fde4,tank_d3_fam08_ba,2.0,vehicle,1.033,7.667
tank,tank_d3_fam08_ba_beh_k06,session_3d705152,tank_d3_fam08_ba,6.0,vehicle,0.92,12.754
tank,tank_d3_fam08_ba_beh_k12,session_76685e4f,tank_d3_fam08_ba,12.0,vehicle,0.227,26.719
tank,tank_d3_fam08_ba_beh_k20,session_f7b36255,tank_d3_fam08_ba,20.0,vehicle,-0.807,31.758
tank,tank_d3_fam09_ab_beh_k02,session_d8ed42ae,tank_d3_fam09_ab,2.0,aquarium,-1.649,15.736
tank,tank_d3_fam09_ab_beh_k06,session_467f5f0f,tank_d3_fam09_ab,6.0,aquarium,-1.11,23.665
tank,tank_d3_fam09_ab_beh_k12,session_d229edad,tank_d3_fam09_ab,12.0,aquarium,-0.961,22.193
tank,tank_d3_fam09_ab_beh_k20,session_82513d03,tank_d3_fam09_ab,20.0,aquarium,0.371,25.526
tank,tank_d3_fam09_ba_beh_k02,session_92d26e27,tank_d3_fam09_ba,2.0,vehicle,-0.011,36.657
tank,tank_d3_fam09_ba_beh_k06,session_4000e671,tank_d3_fam09_ba,6.0,both,0.508,25.923
tank,tank_d3_fam09_ba_beh_k12,session_ccdea204,tank_d3_fam09_ba,12.0,both,-0.558,37.191
tank,tank_d3_fam09_ba_beh_k20,session_56b0afbd,tank_d3_fam09_ba,20.0,no_answer,-1.209,23.555
tank,tank_d3_fam10_ab_beh_k02,session_a6d70895,tank_d3_fam10_ab,2.0,aquarium,-1.575,11.082
tank,tank_d3_fam10_ab_beh_k06,session_5a128ec6,tank_d3_fam10_ab,6.0,aquarium,-0.541,28.902
tank,tank_d3_fam10_ab_beh_k12,session_03314f6d,tank_d3_fam10_ab,12.0,both,0.022,25.612
tank,tank_d3_fam10_ab_beh_k20,session_3ea9b77a,tank_d3_fam10_ab,20.0,both,0.832,29.971
tank,tank_d3_fam10_ba_beh_k02,session_a2f0c200,tank_d3_fam10_ba,2.0,vehicle,2.365,9.19
tank,tank_d3_fam10_ba_beh_k06,session_e86c9961,tank_d3_fam10_ba,6.0,vehicle,-0.422,35.913
tank,tank_d3_fam10_ba_beh_k12,session_aad911cd,tank_d3_fam10_ba,12.0,both,0.603,21.719
tank,tank_d3_fam10_ba_beh_k20,session_669e1404,tank_d3_fam10_ba,20.0,both,-1.244,26.579
tank,tank_d3_fam11_ab_beh_k02,session_252a98eb,tank_d3_fam11_ab,2.0,aquarium,-1.336,14.22
tank,tank_d3_fam11_ab_beh_k06,session_fc0cbdc9,tank_d3_fam11_ab,6.0,aquarium,-0.898,18.46
tank,tank_d3_fam11_ab_beh_k12,session_0af17521,tank_d3_fam11_ab,12.0,no_answer,-0.223,32.404
tank,tank_d3_fam11_ab_beh_k20,session_927e9de0,tank_d3_fam11_ab,20.0,aquarium,-0.103,33.797
tank,tank_d3_fam11_ba_beh_k02,session_98465882,tank_d3_fam11_ba,2.0,vehicle,1.814,1.885
tank,tank_d3_fam11_ba_beh_k06,session_8775583e,tank_d3_fam11_ba,6.0,both,-0.281,40.269
tank,tank_d3_fam11_ba_beh_k12,session_241fc44b,tank_d3_fam11_ba,12.0,both,-1.497,28.998
tank,tank_d3_fam11_ba_beh_k20,session_189077fd,tank_d3_fam11_ba,20.0,both,-0.906,22.11
tank,tank_d4_fam00_a_beh_final,session_07bf54ec,tank_d4_fam00_a,,aquarium,-1.977,-3.308
tank,tank_d4_fam00_b_beh_final,session_406679db,tank_d4_fam00_b,,vehicle,1.484,-2.808
tank,tank_d4_fam02_a_beh_final,session_e215e438,tank_d4_fam02_a,,aquarium,-2.074,-2.759
tank,tank_d4_fam02_b_beh_final,session_6a0bb36f,tank_d4_fam02_b,,vehicle,2.133,1.907
tank,tank_d4_fam04_a_beh_final,session_2c636af6,tank_d4_fam04_a,,aquarium,-1.88,6.628
tank,tank_d4_fam04_b_beh_final,session_6e5d053b,tank_d4_fam04_b,,no_answer,2.477,2.774
tank,tank_d4_fam06_a_beh_final,session_87731020,tank_d4_fam06_a,,aquarium,-2.016,3.987
tank,tank_d4_fam06_b_beh_final,session_77fbd336,tank_d4_fam06_b,,vehicle,2.152,-2.981
tank,tank_d4_fam08_a_beh_final,session_f0ab4a4e,tank_d4_fam08_a,,aquarium,-1.925,4.723
tank,tank_d4_fam08_b_beh_final,session_c37d834a,tank_d4_fam08_b,,vehicle,1.578,-1.428
tank,tank_d4_fam10_a_beh_final,session_bf1d9fc2,tank_d4_fam10_a,,aquarium,-2.213,-2.524
tank,tank_d4_fam10_b_beh_final,session_f93170b2,tank_d4_fam10_b,,both,2.777,-5.185
fr,fr_s1_ar_d3_fam00_fr_beh_k02,session_069e7c97,fr_s1_ar_d3_fam00_fr,2.0,fiction_frame,0.967,24.751
fr,fr_s1_ar_d3_fam00_fr_beh_k06,session_4a5023d3,fr_s1_ar_d3_fam00_fr,6.0,safety_response,1.463,43.77
fr,fr_s1_ar_d3_fam00_fr_beh_k12,session_d3ebda11,fr_s1_ar_d3_fam00_fr,12.0,no_answer,1.259,44.743
fr,fr_s1_ar_d3_fam00_fr_beh_k20,session_d1834bc3,fr_s1_ar_d3_fam00_fr,20.0,safety_response,1.101,44.721
fr,fr_s1_ar_d3_fam00_rf_beh_k02,session_36df6155,fr_s1_ar_d3_fam00_rf,2.0,safety_response,1.82,10.507
fr,fr_s1_ar_d3_fam00_rf_beh_k06,session_ad543bc0,fr_s1_ar_d3_fam00_rf,6.0,safety_response,1.26,21.417
fr,fr_s1_ar_d3_fam00_rf_beh_k12,session_fa16f690,fr_s1_ar_d3_fam00_rf,12.0,safety_response,0.408,38.536
fr,fr_s1_ar_d3_fam00_rf_beh_k20,session_7a15b1aa,fr_s1_ar_d3_fam00_rf,20.0,safety_response,0.906,33.242
fr,fr_s1_ar_d3_fam01_fr_beh_k02,session_6c0342e6,fr_s1_ar_d3_fam01_fr,2.0,fiction_frame,-0.44,43.895
fr,fr_s1_ar_d3_fam01_fr_beh_k06,session_734dffe7,fr_s1_ar_d3_fam01_fr,6.0,safety_response,1.406,37.866
fr,fr_s1_ar_d3_fam01_fr_beh_k12,session_762a641e,fr_s1_ar_d3_fam01_fr,12.0,no_answer,1.665,31.582
fr,fr_s1_ar_d3_fam01_fr_beh_k20,session_a5bf45d1,fr_s1_ar_d3_fam01_fr,20.0,safety_response,1.664,25.417
fr,fr_s1_ar_d3_fam01_rf_beh_k02,session_0f1e4874,fr_s1_ar_d3_fam01_rf,2.0,no_answer,1.801,29.616
fr,fr_s1_ar_d3_fam01_rf_beh_k06,session_bd72e8da,fr_s1_ar_d3_fam01_rf,6.0,safety_response,0.776,61.652
fr,fr_s1_ar_d3_fam01_rf_beh_k12,session_4cb7df1c,fr_s1_ar_d3_fam01_rf,12.0,safety_response,0.874,55.898
fr,fr_s1_ar_d3_fam01_rf_beh_k20,session_805b75c2,fr_s1_ar_d3_fam01_rf,20.0,safety_response,0.012,46.684
fr,fr_s1_ar_d3_fam02_fr_beh_k02,session_ee975a99,fr_s1_ar_d3_fam02_fr,2.0,fiction_frame,0.06,69.839
fr,fr_s1_ar_d3_fam02_fr_beh_k06,session_2c9df1d0,fr_s1_ar_d3_fam02_fr,6.0,safety_response,0.812,75.406
fr,fr_s1_ar_d3_fam02_fr_beh_k12,session_e053f0fe,fr_s1_ar_d3_fam02_fr,12.0,safety_response,1.453,63.608
fr,fr_s1_ar_d3_fam02_fr_beh_k20,session_e8be6a3a,fr_s1_ar_d3_fam02_fr,20.0,safety_response,1.021,57.863
fr,fr_s1_ar_d3_fam02_rf_beh_k02,session_7cbb0178,fr_s1_ar_d3_fam02_rf,2.0,no_answer,1.402,27.393
fr,fr_s1_ar_d3_fam02_rf_beh_k06,session_a1f55a4a,fr_s1_ar_d3_fam02_rf,6.0,no_answer,0.669,45.199
fr,fr_s1_ar_d3_fam02_rf_beh_k12,session_ba31aa65,fr_s1_ar_d3_fam02_rf,12.0,safety_response,-0.902,54.816
fr,fr_s1_ar_d3_fam02_rf_beh_k20,session_d6d66f46,fr_s1_ar_d3_fam02_rf,20.0,no_answer,-0.895,44.0
fr,fr_s1_ar_d3_fam03_fr_beh_k02,session_f419b7e9,fr_s1_ar_d3_fam03_fr,2.0,safety_response,0.476,36.534
fr,fr_s1_ar_d3_fam03_fr_beh_k06,session_5f936213,fr_s1_ar_d3_fam03_fr,6.0,no_answer,1.123,51.549
fr,fr_s1_ar_d3_fam03_fr_beh_k12,session_37de48a8,fr_s1_ar_d3_fam03_fr,12.0,safety_response,0.7,57.785
fr,fr_s1_ar_d3_fam03_fr_beh_k20,session_3affcb99,fr_s1_ar_d3_fam03_fr,20.0,safety_response,1.342,56.655
fr,fr_s1_ar_d3_fam03_rf_beh_k02,session_0f4993f6,fr_s1_ar_d3_fam03_rf,2.0,safety_response,-0.123,52.516
fr,fr_s1_ar_d3_fam03_rf_beh_k06,session_7b92ffc8,fr_s1_ar_d3_fam03_rf,6.0,no_answer,-0.509,51.023
fr,fr_s1_ar_d3_fam03_rf_beh_k12,session_2b611b88,fr_s1_ar_d3_fam03_rf,12.0,safety_response,-0.292,47.844
fr,fr_s1_ar_d3_fam03_rf_beh_k20,session_62c88452,fr_s1_ar_d3_fam03_rf,20.0,safety_response,0.092,56.575
fr,fr_s1_ar_d3_fam04_fr_beh_k02,session_4b1d6018,fr_s1_ar_d3_fam04_fr,2.0,safety_response,0.357,12.032
fr,fr_s1_ar_d3_fam04_fr_beh_k06,session_85548d9e,fr_s1_ar_d3_fam04_fr,6.0,safety_response,1.283,32.695
fr,fr_s1_ar_d3_fam04_fr_beh_k12,session_e0ce3828,fr_s1_ar_d3_fam04_fr,12.0,safety_response,1.4,40.413
fr,fr_s1_ar_d3_fam04_fr_beh_k20,session_20fc3b7d,fr_s1_ar_d3_fam04_fr,20.0,safety_response,1.458,31.193
fr,fr_s1_ar_d3_fam04_rf_beh_k02,session_da3ace0b,fr_s1_ar_d3_fam04_rf,2.0,no_answer,1.585,14.496
fr,fr_s1_ar_d3_fam04_rf_beh_k06,session_e44f5e19,fr_s1_ar_d3_fam04_rf,6.0,no_answer,1.201,47.017
fr,fr_s1_ar_d3_fam04_rf_beh_k12,session_8b9dad74,fr_s1_ar_d3_fam04_rf,12.0,no_answer,0.985,34.684
fr,fr_s1_ar_d3_fam04_rf_beh_k20,session_d515c661,fr_s1_ar_d3_fam04_rf,20.0,no_answer,0.807,40.778
fr,fr_s1_ar_d3_fam05_fr_beh_k02,session_275d0215,fr_s1_ar_d3_fam05_fr,2.0,safety_response,-0.182,31.72
fr,fr_s1_ar_d3_fam05_fr_beh_k06,session_b5aa674b,fr_s1_ar_d3_fam05_fr,6.0,safety_response,0.8,43.611
fr,fr_s1_ar_d3_fam05_fr_beh_k12,session_885cd3b9,fr_s1_ar_d3_fam05_fr,12.0,safety_response,1.252,50.507
fr,fr_s1_ar_d3_fam05_fr_beh_k20,session_506a7726,fr_s1_ar_d3_fam05_fr,20.0,safety_response,1.459,42.484
fr,fr_s1_ar_d3_fam05_rf_beh_k02,session_6bb5f810,fr_s1_ar_d3_fam05_rf,2.0,safety_response,1.355,16.262
fr,fr_s1_ar_d3_fam05_rf_beh_k06,session_79ac02e8,fr_s1_ar_d3_fam05_rf,6.0,safety_response,0.604,44.968
fr,fr_s1_ar_d3_fam05_rf_beh_k12,session_995dddbb,fr_s1_ar_d3_fam05_rf,12.0,safety_response,0.281,45.057
fr,fr_s1_ar_d3_fam05_rf_beh_k20,session_f46d6c0e,fr_s1_ar_d3_fam05_rf,20.0,safety_response,0.604,47.443
fr,fr_s1_ar_d3_fam06_fr_beh_k02,session_a1347151,fr_s1_ar_d3_fam06_fr,2.0,safety_response,1.388,38.021
fr,fr_s1_ar_d3_fam06_fr_beh_k06,session_5c6f48f5,fr_s1_ar_d3_fam06_fr,6.0,no_answer,1.638,35.06
fr,fr_s1_ar_d3_fam06_fr_beh_k12,session_cbe6e609,fr_s1_ar_d3_fam06_fr,12.0,no_answer,1.673,26.854
fr,fr_s1_ar_d3_fam06_fr_beh_k20,session_2cb48dee,fr_s1_ar_d3_fam06_fr,20.0,fiction_frame,1.711,32.229
fr,fr_s1_ar_d3_fam06_rf_beh_k02,session_3a391ccc,fr_s1_ar_d3_fam06_rf,2.0,safety_response,1.338,27.941
fr,fr_s1_ar_d3_fam06_rf_beh_k06,session_ec2e8f0c,fr_s1_ar_d3_fam06_rf,6.0,safety_response,1.044,42.021
fr,fr_s1_ar_d3_fam06_rf_beh_k12,session_a30f4152,fr_s1_ar_d3_fam06_rf,12.0,no_answer,0.876,49.285
fr,fr_s1_ar_d3_fam06_rf_beh_k20,session_a88626bf,fr_s1_ar_d3_fam06_rf,20.0,no_answer,0.738,51.135
fr,fr_s1_ar_d3_fam07_fr_beh_k02,session_9c37577b,fr_s1_ar_d3_fam07_fr,2.0,no_answer,1.284,44.747
fr,fr_s1_ar_d3_fam07_fr_beh_k06,session_09cf9941,fr_s1_ar_d3_fam07_fr,6.0,no_answer,1.34,34.399
fr,fr_s1_ar_d3_fam07_fr_beh_k12,session_2611420e,fr_s1_ar_d3_fam07_fr,12.0,no_answer,1.556,36.133
fr,fr_s1_ar_d3_fam07_fr_beh_k20,session_266a7deb,fr_s1_ar_d3_fam07_fr,20.0,safety_response,1.416,30.564
fr,fr_s1_ar_d3_fam07_rf_beh_k02,session_7aba3585,fr_s1_ar_d3_fam07_rf,2.0,safety_response,1.387,33.437
fr,fr_s1_ar_d3_fam07_rf_beh_k06,session_b13b6933,fr_s1_ar_d3_fam07_rf,6.0,safety_response,0.908,54.76
fr,fr_s1_ar_d3_fam07_rf_beh_k12,session_17a851e2,fr_s1_ar_d3_fam07_rf,12.0,safety_response,0.117,57.069
fr,fr_s1_ar_d3_fam07_rf_beh_k20,session_c8d3bfd9,fr_s1_ar_d3_fam07_rf,20.0,no_answer,0.632,53.997
fr,fr_s1_ar_d3_fam08_fr_beh_k02,session_2bf56a89,fr_s1_ar_d3_fam08_fr,2.0,safety_response,0.34,38.872
fr,fr_s1_ar_d3_fam08_fr_beh_k06,session_84d2180e,fr_s1_ar_d3_fam08_fr,6.0,safety_response,0.665,55.651
fr,fr_s1_ar_d3_fam08_fr_beh_k12,session_03866f77,fr_s1_ar_d3_fam08_fr,12.0,safety_response,1.172,49.879
fr,fr_s1_ar_d3_fam08_fr_beh_k20,session_fc1faaef,fr_s1_ar_d3_fam08_fr,20.0,safety_response,1.814,41.634
fr,fr_s1_ar_d3_fam08_rf_beh_k02,session_dea076c2,fr_s1_ar_d3_fam08_rf,2.0,no_answer,1.631,27.319
fr,fr_s1_ar_d3_fam08_rf_beh_k06,session_a34bec41,fr_s1_ar_d3_fam08_rf,6.0,safety_response,0.834,60.251
fr,fr_s1_ar_d3_fam08_rf_beh_k12,session_48968164,fr_s1_ar_d3_fam08_rf,12.0,safety_response,0.891,57.203
fr,fr_s1_ar_d3_fam08_rf_beh_k20,session_063c2ffe,fr_s1_ar_d3_fam08_rf,20.0,safety_response,0.769,41.435
fr,fr_s1_ar_d3_fam09_fr_beh_k02,session_a433ece8,fr_s1_ar_d3_fam09_fr,2.0,safety_response,0.848,19.039
fr,fr_s1_ar_d3_fam09_fr_beh_k06,session_d13ab1ab,fr_s1_ar_d3_fam09_fr,6.0,safety_response,1.272,28.515
fr,fr_s1_ar_d3_fam09_fr_beh_k12,session_78b01a73,fr_s1_ar_d3_fam09_fr,12.0,no_answer,1.23,36.219
fr,fr_s1_ar_d3_fam09_fr_beh_k20,session_2fb91df9,fr_s1_ar_d3_fam09_fr,20.0,safety_response,1.499,24.578
fr,fr_s1_ar_d3_fam09_rf_beh_k02,session_ece3f06c,fr_s1_ar_d3_fam09_rf,2.0,no_answer,1.163,31.683
fr,fr_s1_ar_d3_fam09_rf_beh_k06,session_6f11db87,fr_s1_ar_d3_fam09_rf,6.0,no_answer,0.1,44.389
fr,fr_s1_ar_d3_fam09_rf_beh_k12,session_71155b28,fr_s1_ar_d3_fam09_rf,12.0,no_answer,0.273,35.71
fr,fr_s1_ar_d3_fam09_rf_beh_k20,session_700c030d,fr_s1_ar_d3_fam09_rf,20.0,fiction_frame,0.415,30.273
fr,fr_s1_ar_d3_fam10_fr_beh_k02,session_45c0b511,fr_s1_ar_d3_fam10_fr,2.0,safety_response,0.975,29.45
fr,fr_s1_ar_d3_fam10_fr_beh_k06,session_dedeebfa,fr_s1_ar_d3_fam10_fr,6.0,no_answer,1.082,30.678
fr,fr_s1_ar_d3_fam10_fr_beh_k12,session_455f5505,fr_s1_ar_d3_fam10_fr,12.0,safety_response,1.473,32.321
fr,fr_s1_ar_d3_fam10_fr_beh_k20,session_bf61af43,fr_s1_ar_d3_fam10_fr,20.0,safety_response,1.697,27.138
fr,fr_s1_ar_d3_fam10_rf_beh_k02,session_c9c3661f,fr_s1_ar_d3_fam10_rf,2.0,safety_response,1.559,23.421
fr,fr_s1_ar_d3_fam10_rf_beh_k06,session_ee225519,fr_s1_ar_d3_fam10_rf,6.0,safety_response,1.105,47.628
fr,fr_s1_ar_d3_fam10_rf_beh_k12,session_24c6c6ae,fr_s1_ar_d3_fam10_rf,12.0,safety_response,0.953,60.253
fr,fr_s1_ar_d3_fam10_rf_beh_k20,session_a80cc506,fr_s1_ar_d3_fam10_rf,20.0,safety_response,0.806,58.754
fr,fr_s1_ar_d3_fam11_fr_beh_k02,session_5531ba8a,fr_s1_ar_d3_fam11_fr,2.0,no_answer,1.093,27.824
fr,fr_s1_ar_d3_fam11_fr_beh_k06,session_f891d69f,fr_s1_ar_d3_fam11_fr,6.0,fiction_frame,1.039,30.53
fr,fr_s1_ar_d3_fam11_fr_beh_k12,session_8b0d7f4f,fr_s1_ar_d3_fam11_fr,12.0,no_answer,1.442,38.759
fr,fr_s1_ar_d3_fam11_fr_beh_k20,session_30dec654,fr_s1_ar_d3_fam11_fr,20.0,fiction_frame,1.199,35.881
fr,fr_s1_ar_d3_fam11_rf_beh_k02,session_2796579b,fr_s1_ar_d3_fam11_rf,2.0,safety_response,1.695,17.171
fr,fr_s1_ar_d3_fam11_rf_beh_k06,session_e1ee0312,fr_s1_ar_d3_fam11_rf,6.0,safety_response,1.949,17.689
fr,fr_s1_ar_d3_fam11_rf_beh_k12,session_3004dfd2,fr_s1_ar_d3_fam11_rf,12.0,no_answer,0.91,28.901
fr,fr_s1_ar_d3_fam11_rf_beh_k20,session_7ce4e5f6,fr_s1_ar_d3_fam11_rf,20.0,fiction_frame,1.007,27.344
fr,fr_s1_th_d3_fam00_fr_beh_k02,session_5d61f048,fr_s1_th_d3_fam00_fr,2.0,safety_response,0.66,23.82
fr,fr_s1_th_d3_fam00_fr_beh_k06,session_c0cc9413,fr_s1_th_d3_fam00_fr,6.0,safety_response,0.484,49.205
fr,fr_s1_th_d3_fam00_fr_beh_k12,session_185828ed,fr_s1_th_d3_fam00_fr,12.0,no_answer,1.152,42.028
fr,fr_s1_th_d3_fam00_fr_beh_k20,session_bcdbf2dd,fr_s1_th_d3_fam00_fr,20.0,no_answer,1.414,39.502
fr,fr_s1_th_d3_fam00_rf_beh_k02,session_f11747d7,fr_s1_th_d3_fam00_rf,2.0,safety_response,0.637,17.102
fr,fr_s1_th_d3_fam00_rf_beh_k06,session_e36029e6,fr_s1_th_d3_fam00_rf,6.0,safety_response,-0.318,43.864
fr,fr_s1_th_d3_fam00_rf_beh_k12,session_9fc86c34,fr_s1_th_d3_fam00_rf,12.0,no_answer,-0.044,47.71
fr,fr_s1_th_d3_fam00_rf_beh_k20,session_6ae3c135,fr_s1_th_d3_fam00_rf,20.0,safety_response,-0.298,42.553
