set,session,run,k,reading,logprobs,category,auto
tank_d3_fam02_ba_beh_k02,session_5521d227,tank_d3_fam02_ba,2,1.402,"{""answer_starters"": {""In"": -5.219891, ""The"": -2.344891, ""A"": -8.735516, ""It"": -4.891766}, ""sense_words"": {"" aquarium"": -27.975262, "" vehicle"": -28.512859, "" military"": -27.24638, "" fish"": -26.22868, "" water"": -25.690594, "" armored"": -28.989422}}",both,unclear
tank_d3_fam02_ba_beh_k06,session_2a8f5696,tank_d3_fam02_ba,6,0.284,"{""answer_starters"": {""In"": -4.333847, ""The"": -1.958847, ""A"": -8.896347, ""It"": -4.240097}, ""sense_words"": {"" aquarium"": -26.983871, "" vehicle"": -28.056503, "" military"": -26.734177, "" fish"": -25.61998, "" water"": -24.971542, "" armored"": -28.525253}}",no_answer,unclear
tank_d3_fam02_ba_beh_k12,session_e2c1e05c,tank_d3_fam02_ba,12,-0.174,"{""answer_starters"": {""In"": -3.768699, ""The"": -1.831199, ""A"": -8.878074, ""It"": -4.721824}, ""sense_words"": {"" aquarium"": -26.902061, "" vehicle"": -28.468895, "" military"": -26.421043, "" fish"": -25.964989, "" water"": -25.202293, "" armored"": -28.744286}}",both,both
tank_d3_fam02_ba_beh_k20,session_4d8003ed,tank_d3_fam02_ba,20,-0.722,"{""answer_starters"": {""In"": -5.419137, ""The"": -2.200387, ""A"": -9.637887, ""It"": -4.966012}, ""sense_words"": {"" aquarium"": -27.949287, "" vehicle"": -29.429878, "" military"": -28.271187, "" fish"": -26.149605, "" water"": -26.469917, "" armored"": -30.026558}}",no_answer,unclear
tank_d3_fam03_ab_beh_k02,session_cd4426ed,tank_d3_fam03_ab,2,-1.498,"{""answer_starters"": {""In"": -3.861712, ""The"": -1.736712, ""A"": -8.674212, ""It"": -4.439837}, ""sense_words"": {"" aquarium"": -25.666399, "" vehicle"": -29.09218, "" military"": -26.773607, "" fish"": -24.916399, "" water"": -24.555071, "" armored"": -28.553118}}",aquarium,aquarium
tank_d3_fam03_ab_beh_k06,session_8c920903,tank_d3_fam03_ab,6,-1.239,"{""answer_starters"": {""In"": -3.898472, ""The"": -1.570347, ""A"": -8.367222, ""It"": -4.257847}, ""sense_words"": {"" aquarium"": -25.957554, "" vehicle"": -29.216831, "" military"": -26.445957, "" fish"": -25.173862, "" water"": -24.400425, "" armored"": -28.497105}}",aquarium,aquarium
tank_d3_fam03_ab_beh_k12,session_4ee5250a,tank_d3_fam03_ab,12,0.158,"{""answer_starters"": {""In"": -4.307282, ""The"": -1.510407, ""A"": -8.182282, ""It"": -3.244782}, ""sense_words"": {"" aquarium"": -25.164215, "" vehicle"": -27.848297, "" military"": -25.533112, "" fish"": -23.54361, "" water"": -23.738922, "" armored"": -27.35318}}",vehicle,vehicle
tank_d3_fam03_ab_beh_k20,session_f00516e3,tank_d3_fam03_ab,20,-0.31,"{""answer_starters"": {""In"": -4.858625, ""The"": -2.014875, ""A"": -8.62425, ""It"": -4.87425}, ""sense_words"": {"" aquarium"": -26.691633, "" vehicle"": -29.301985, "" military"": -26.717512, "" fish"": -25.708235, "" water"": -24.934797, "" armored"": -28.931868}}",both,both
tank_d3_fam03_ba_beh_k02,session_257eb8cc,tank_d3_fam03_ba,2,1.318,"{""answer_starters"": {""In"": -3.401829, ""The"": -0.886204, ""A"": -7.167454, ""It"": -3.604954}, ""sense_words"": {"" aquarium"": -27.192844, "" vehicle"": -27.647923, "" military"": -24.965794, "" fish"": -25.106907, "" water"": -24.376438, "" armored"": -27.266087}}",vehicle,vehicle
tank_d3_fam03_ba_beh_k06,session_6edbbedb,tank_d3_fam03_ba,6,-0.376,"{""answer_starters"": {""In"": -3.597648, ""The"": -1.753898, ""A"": -9.019523, ""It"": -5.238273}, ""sense_words"": {"" aquarium"": -27.739311, "" vehicle"": -29.667961, "" military"": -27.219963, "" fish"": -26.865715, "" water"": -26.189445, "" armored"": -29.632805}}",both,both
tank_d3_fam03_ba_beh_k12,session_2bc21fd9,tank_d3_fam03_ba,12,-0.454,"{""answer_starters"": {""In"": -4.500776, ""The"": -1.985151, ""A"": -8.203901, ""It"": -5.891401}, ""sense_words"": {"" aquarium"": -27.509481, "" vehicle"": -29.065229, "" military"": -26.645796, "" fish"": -26.729292, "" water"": -25.71855, "" armored"": -29.172651}}",aquarium,aquarium
tank_d3_fam03_ba_beh_k20,session_4c4a1ef5,tank_d3_fam03_ba,20,-0.393,"{""answer_starters"": {""In"": -4.585115, ""The"": -2.06949, ""A"": -8.116365, ""It"": -5.210115}, ""sense_words"": {"" aquarium"": -26.7139, "" vehicle"": -28.736483, "" military"": -26.21451, "" fish"": -25.588045, "" water"": -24.659334, "" armored"": -29.339022}}",vehicle,vehicle
tank_d3_fam04_ab_beh_k02,session_a4b3ff7c,tank_d3_fam04_ab,2,-1.185,"{""answer_starters"": {""In"": -3.545897, ""The"": -1.749022, ""A"": -8.202147, ""It"": -4.420897}, ""sense_words"": {"" aquarium"": -26.848997, "" vehicle"": -29.420897, "" military"": -27.742674, "" fish"": -25.839842, "" water"": -24.879881, "" armored"": -29.475584}}",aquarium,aquarium
tank_d3_fam04_ab_beh_k06,session_dc3b30cd,tank_d3_fam04_ab,6,-0.957,"{""answer_starters"": {""In"": -4.025513, ""The"": -1.494263, ""A"": -8.134888, ""It"": -3.650513}, ""sense_words"": {"" aquarium"": -26.709595, "" vehicle"": -28.759888, "" military"": -26.869995, "" fish"": -25.29895, "" water"": -24.653442, "" armored"": -29.05481}}",aquarium,aquarium
tank_d3_fam04_ab_beh_k12,session_3bb8611d,tank_d3_fam04_ab,12,-0.569,"{""answer_starters"": {""In"": -3.607199, ""The"": -1.435324, ""A"": -8.841574, ""It"": -4.232199}, ""sense_words"": {"" aquarium"": -26.747091, "" vehicle"": -28.779074, "" military"": -26.79714, "" fish"": -25.854269, "" water"": -25.190207, "" armored"": -29.124777}}",no_answer,unclear
tank_d3_fam04_ab_beh_k20,session_4d781336,tank_d3_fam04_ab,20,-0.65,"{""answer_starters"": {""In"": -5.051811, ""The"": -2.192436, ""A"": -8.848686, ""It"": -4.208061}, ""sense_words"": {"" aquarium"": -26.460014, "" vehicle"": -28.887749, "" military"": -27.443718, "" fish"": -25.309624, "" water"": -24.567436, "" armored"": -29.477592}}",both,both
tank_d3_fam04_ba_beh_k02,session_e48a9503,tank_d3_fam04_ba,2,1.724,"{""answer_starters"": {""In"": -3.679728, ""The"": -1.289103, ""A"": -7.117228, ""It"": -2.851603}, ""sense_words"": {"" aquarium"": -25.540232, "" vehicle"": -26.870157, "" military"": -25.050821, "" fish"": -24.029337, "" water"": -23.493204, "" armored"": -25.989542}}",vehicle,vehicle
tank_d3_fam04_ba_beh_k06,session_d0e7eb81,tank_d3_fam04_ba,6,-0.347,"{""answer_starters"": {""In"": -3.971465, ""The"": -1.54959, ""A"": -7.815215, ""It"": -4.346465}, ""sense_words"": {"" aquarium"": -26.171173, "" vehicle"": -28.551544, "" military"": -25.751251, "" fish"": -25.035919, "" water"": -24.102325, "" armored"": -27.913849}}",both,unclear
tank_d3_fam04_ba_beh_k12,session_1f2af81b,tank_d3_fam04_ba,12,-0.603,"{""answer_starters"": {""In"": -5.565659, ""The"": -2.800034, ""A"": -8.815659, ""It"": -4.784409}, ""sense_words"": {"" aquarium"": -26.121811, "" vehicle"": -28.344955, "" military"": -26.703842, "" fish"": -24.89769, "" water"": -24.626205, "" armored"": -28.146713}}",vehicle,vehicle
tank_d3_fam04_ba_beh_k20,session_8a0bf417,tank_d3_fam04_ba,20,-0.6,"{""answer_starters"": {""In"": -4.015344, ""The"": -1.687219, ""A"": -8.140344, ""It"": -4.859094}, ""sense_words"": {"" aquarium"": -26.179407, "" vehicle"": -28.348352, "" military"": -26.241907, "" fish"": -25.862513, "" water"": -24.742884, "" armored"": -28.560266}}",vehicle,vehicle
tank_d3_fam05_ab_beh_k02,session_85b4e38e,tank_d3_fam05_ab,2,-1.202,"{""answer_starters"": {""In"": -3.946705, ""The"": -2.18108, ""A"": -8.259205, ""It"": -4.040455}, ""sense_words"": {"" aquarium"": -26.471607, "" vehicle"": -28.985767, "" military"": -27.671314, "" fish"": -25.30022, "" water"": -24.548267, "" armored"": -28.780689}}",aquarium,aquarium
tank_d3_fam05_ab_beh_k06,session_449eeeca,tank_d3_fam05_ab,6,-0.219,"{""answer_starters"": {""In"": -5.033871, ""The"": -2.502621, ""A"": -7.861996, ""It"": -4.221371}, ""sense_words"": {"" aquarium"": -25.673519, "" vehicle"": -28.780941, "" military"": -27.128109, "" fish"": -24.721371, "" water"": -23.406918, "" armored"": -28.408871}}",aquarium,aquarium
tank_d3_fam05_ab_beh_k12,session_7485dd6c,tank_d3_fam05_ab,12,0.124,"{""answer_starters"": {""In"": -4.280135, ""The"": -1.873885, ""A"": -7.60826, ""It"": -4.26451}, ""sense_words"": {"" aquarium"": -26.385115, "" vehicle"": -28.537947, "" military"": -27.217634, "" fish"": -25.081892, "" water"": -24.418806, "" armored"": -28.528181}}",both,both
tank_d3_fam05_ab_beh_k20,session_d2271dad,tank_d3_fam05_ab,20,0.87,"{""answer_starters"": {""In"": -4.805485, ""The"": -1.992985, ""A"": -7.305485, ""It"": -3.930485}, ""sense_words"": {"" aquarium"": -26.490299, "" vehicle"": -28.097477, "" military"": -26.983707, "" fish"": -25.277164, "" water"": -24.035954, "" armored"": -28.00275}}",both,both
tank_d3_fam05_ba_beh_k02,session_9270b53e,tank_d3_fam05_ba,2,1.728,"{""answer_starters"": {""In"": -4.390728, ""The"": -1.437602, ""A"": -7.828228, ""It"": -4.171978}, ""sense_words"": {"" aquarium"": -27.01231, "" vehicle"": -27.839947, "" military"": -26.359234, "" fish"": -25.799419, "" water"": -24.978619, "" armored"": -27.828228}}",vehicle,vehicle
tank_d3_fam05_ba_beh_k06,session_9a2659bb,tank_d3_fam05_ba,6,0.864,"{""answer_starters"": {""In"": -4.285011, ""The"": -1.988136, ""A"": -7.550636, ""It"": -4.441261}, ""sense_words"": {"" aquarium"": -26.909645, "" vehicle"": -28.128761, "" military"": -26.443703, "" fish"": -25.797707, "" water"": -24.757668, "" armored"": -28.159035}}",both,unclear
tank_d3_fam05_ba_beh_k12,session_e18a62d5,tank_d3_fam05_ba,12,-0.717,"{""answer_starters"": {""In"": -5.01356, ""The"": -2.01356, ""A"": -8.466685, ""It"": -4.88856}, ""sense_words"": {"" aquarium"": -27.206003, "" vehicle"": -28.644419, "" military"": -26.93519, "" fish"": -26.014536, "" water"": -25.311411, "" armored"": -29.217661}}",aquarium,aquarium
tank_d3_fam05_ba_beh_k20,session_b91c0234,tank_d3_fam05_ba,20,-0.06,"{""answer_starters"": {""In"": -4.471167, ""The"": -1.908667, ""A"": -7.752417, ""It"": -4.205542}, ""sense_words"": {"" aquarium"": -26.323706, "" vehicle"": -28.198706, "" military"": -25.92771, "" fish"": -25.296362, "" water"": -24.512182, "" armored"": -27.857885}}",both,both
tank_d3_fam06_ab_beh_k02,session_d7172d66,tank_d3_fam06_ab,2,-1.224,"{""answer_starters"": {""In"": -5.267394, ""The"": -1.595519, ""A"": -9.095519, ""It"": -4.314269}, ""sense_words"": {"" aquarium"": -28.024717, "" vehicle"": -29.476377, "" military"": -28.470518, "" fish"": -26.551085, "" water"": -26.475889, "" armored"": -30.435362}}",aquarium,aquarium
tank_d3_fam06_ab_beh_k06,session_6a592735,tank_d3_fam06_ab,6,-0.213,"{""answer_starters"": {""In"": -6.423527, ""The"": -1.720402, ""A"": -8.829777, ""It"": -3.079777}, ""sense_words"": {"" aquarium"": -27.923527, "" vehicle"": -28.238956, "" military"": -26.171329, "" fish"": -25.504093, "" water"": -25.992863, "" armored"": -29.657902}}",aquarium,aquarium
tank_d3_fam06_ab_beh_k12,session_bb0adc7b,tank_d3_fam06_ab,12,1.652,"{""answer_starters"": {""In"": -5.556416, ""The"": -1.540791, ""A"": -8.618916, ""It"": -3.822041}, ""sense_words"": {"" aquarium"": -26.865253, "" vehicle"": -27.999775, "" military"": -26.130878, "" fish"": -25.113056, "" water"": -25.073994, "" armored"": -28.726337}}",vehicle,vehicle
tank_d3_fam06_ab_beh_k20,session_8165447c,tank_d3_fam06_ab,20,1.056,"{""answer_starters"": {""In"": -4.396532, ""The"": -1.412157, ""A"": -9.021532, ""It"": -4.349657}, ""sense_words"": {"" aquarium"": -27.342333, "" vehicle"": -28.224657, "" military"": -25.564989, "" fish"": -26.272142, "" water"": -25.617723, "" armored"": -28.783251}}",no_answer,unclear
tank_d3_fam06_ba_beh_k02,session_9866d777,tank_d3_fam06_ba,2,1.494,"{""answer_starters"": {""In"": -3.967572, ""The"": -2.326947, ""A"": -8.076947, ""It"": -5.311322}, ""sense_words"": {"" aquarium"": -27.779585, "" vehicle"": -28.292768, "" military"": -26.073042, "" fish"": -26.481245, "" water"": -25.377729, "" armored"": -27.82353}}",vehicle,vehicle
tank_d3_fam06_ba_beh_k06,session_832ec5b1,tank_d3_fam06_ba,6,0.483,"{""answer_starters"": {""In"": -3.468101, ""The"": -2.077476, ""A"": -7.249351, ""It"": -4.608726}, ""sense_words"": {"" aquarium"": -26.405844, "" vehicle"": -28.043295, "" military"": -25.430014, "" fish"": -25.61849, "" water"": -24.127279, "" armored"": -27.411459}}",vehicle,vehicle
tank_d3_fam06_ba_beh_k12,session_5045245a,tank_d3_fam06_ba,12,0.552,"{""answer_starters"": {""In"": -4.003035, ""The"": -1.815534, ""A"": -7.11241, ""It"": -4.73741}, ""sense_words"": {"" aquarium"": -26.99217, "" vehicle"": -28.388777, "" military"": -26.020613, "" fish"": -26.042097, "" water"": -24.7628, "" armored"": -28.117292}}",both,both
tank_d3_fam06_ba_beh_k20,session_f5e3f53a,tank_d3_fam06_ba,20,-0.121,"{""answer_starters"": {""In"": -4.913496, ""The"": -2.132246, ""A"": -8.663496, ""It"": -4.225996}, ""sense_words"": {"" aquarium"": -26.297285, "" vehicle"": -27.774824, "" military"": -26.312422, "" fish"": -24.94084, "" water"": -24.224043, "" armored"": -28.325605}}",vehicle,vehicle
tank_d3_fam07_ab_beh_k02,session_193da0a8,tank_d3_fam07_ab,2,-2.11,"{""answer_starters"": {""In"": -3.304372, ""The"": -2.085622, ""A"": -7.944997, ""It"": -4.491872}, ""sense_words"": {"" aquarium"": -24.698902, "" vehicle"": -28.950855, "" military"": -27.771168, "" fish"": -24.198902, "" water"": -24.02898, "" armored"": -28.692066}}",both,both
tank_d3_fam07_ab_beh_k06,session_5059df48,tank_d3_fam07_ab,6,-1.159,"{""answer_starters"": {""In"": -5.451209, ""The"": -3.216834, ""A"": -9.013709, ""It"": -4.951209}, ""sense_words"": {"" aquarium"": -26.261757, "" vehicle"": -29.105507, "" military"": -27.716347, "" fish"": -25.054726, "" water"": -24.939491, "" armored"": -29.545937}}",aquarium,aquarium
tank_d3_fam07_ab_beh_k12,session_bc7efd71,tank_d3_fam07_ab,12,-0.784,"{""answer_starters"": {""In"": -4.868086, ""The"": -2.243086, ""A"": -9.039961, ""It"": -6.071211}, ""sense_words"": {"" aquarium"": -28.316816, "" vehicle"": -30.893476, "" military"": -28.995008, "" fish"": -27.621992, "" water"": -26.625898, "" armored"": -30.811445}}",both,both
tank_d3_fam07_ab_beh_k20,session_42dfeebf,tank_d3_fam07_ab,20,-0.806,"{""answer_starters"": {""In"": -5.818666, ""The"": -2.849916, ""A"": -9.334291, ""It"": -5.928041}, ""sense_words"": {"" aquarium"": -27.418276, "" vehicle"": -29.986635, "" military"": -28.708681, "" fish"": -26.571596, "" water"": -25.691713, "" armored"": -30.312807}}",aquarium,aquarium
tank_d3_fam07_ba_beh_k02,session_4d47e007,tank_d3_fam07_ba,2,1.441,"{""answer_starters"": {""In"": -5.393243, ""The"": -1.799493, ""A"": -9.252618, ""It"": -5.580743}, ""sense_words"": {"" aquarium"": -29.350273, "" vehicle"": -29.838554, "" military"": -27.722099, "" fish"": -27.115776, "" water"": -26.875175, "" armored"": -29.81707}}",vehicle,vehicle
tank_d3_fam07_ba_beh_k06,session_3412cedb,tank_d3_fam07_ba,6,-0.332,"{""answer_starters"": {""In"": -5.820996, ""The"": -2.149122, ""A"": -9.617871, ""It"": -6.305371}, ""sense_words"": {"" aquarium"": -29.080763, "" vehicle"": -30.113966, "" military"": -27.913527, "" fish"": -27.169386, "" water"": -26.606153, "" armored"": -30.338575}}",aquarium,aquarium
tank_d3_fam07_ba_beh_k12,session_82b389dc,tank_d3_fam07_ba,12,-0.985,"{""answer_starters"": {""In"": -5.3941, ""The"": -1.8316, ""A"": -9.440975, ""It"": -5.2691}, ""sense_words"": {"" aquarium"": -28.101131, "" vehicle"": -29.304256, "" military"": -27.384823, "" fish"": -26.500546, "" water"": -26.158749, "" armored"": -30.230038}}",aquarium,aquarium
tank_d3_fam07_ba_beh_k20,session_e5f233e5,tank_d3_fam07_ba,20,-2.17,"{""answer_starters"": {""In"": -5.928921, ""The"": -2.163296, ""A"": -8.553921, ""It"": -3.803921}, ""sense_words"": {"" aquarium"": -26.164639, "" vehicle"": -28.446499, "" military"": -26.741665, "" fish"": -23.766811, "" water"": -24.290249, "" armored"": -28.819546}}",aquarium,aquarium
tank_d3_fam08_ab_beh_k02,session_9ce39a9a,tank_d3_fam08_ab,2,-1.54,"{""answer_starters"": {""In"": -2.429186, ""The"": -1.944811, ""A"": -8.616686, ""It"": -4.101061}, ""sense_words"": {"" aquarium"": -25.377916, "" vehicle"": -28.181139, "" military"": -26.329576, "" fish"": -25.10985, "" water"": -24.735826, "" armored"": -28.353014}}",no_answer,unclear
tank_d3_fam08_ab_beh_k06,session_97730364,tank_d3_fam08_ab,6,-0.787,"{""answer_starters"": {""In"": -3.658399, ""The"": -1.908399, ""A"": -8.049025, ""It"": -3.767774}, ""sense_words"": {"" aquarium"": -26.070509, "" vehicle"": -28.375196, "" military"": -26.574293, "" fish"": -25.362501, "" water"": -24.763868, "" armored"": -28.804884}}",both,both
tank_d3_fam08_ab_beh_k12,session_5096cf18,tank_d3_fam08_ab,12,-0.152,"{""answer_starters"": {""In"": -5.328951, ""The"": -2.860201, ""A"": -9.188326, ""It"": -4.813326}, ""sense_words"": {"" aquarium"": -28.102388, "" vehicle"": -29.427584, "" military"": -27.254244, "" fish"": -27.014498, "" water"": -26.821138, "" armored"": -29.95981}}",both,unclear
tank_d3_fam08_ab_beh_k20,session_3da378d5,tank_d3_fam08_ab,20,-0.104,"{""answer_starters"": {""In"": -3.70269, ""The"": -2.17144, ""A"": -7.780815, ""It"": -3.687065}, ""sense_words"": {"" aquarium"": -26.389214, "" vehicle"": -27.469292, "" military"": -25.542534, "" fish"": -24.993706, "" water"": -24.859917, "" armored"": -27.769096}}",vehicle,vehicle
tank_d3_fam08_ba_beh_k02,session_f9377809,tank_d3_fam08_ba,2,1.033,"{""answer_starters"": {""In"": -4.667946, ""The"": -2.917946, ""A"": -6.636696, ""It"": -4.667946}, ""sense_words"": {"" aquarium"": -27.182838, "" vehicle"": -28.032204, "" military"": -25.415016, "" fish"": -25.399391, "" water"": -24.687477, "" armored"": -27.404274}}",vehicle,vehicle
tank_d3_fam08_ba_beh_k06,session_dbb71461,tank_d3_fam08_ba,6,0.92,"{""answer_starters"": {""In"": -4.254273, ""The"": -2.363649, ""A"": -7.348023, ""It"": -4.519898}, ""sense_words"": {"" aquarium"": -27.777956, "" vehicle"": -28.846071, "" military"": -26.602907, "" fish"": -26.47986, "" water"": -25.76697, "" armored"": -28.816774}}",vehicle,vehicle
tank_d3_fam08_ba_beh_k12,session_2e441685,tank_d3_fam08_ba,12,0.227,"{""answer_starters"": {""In"": -3.722355, ""The"": -2.066105, ""A"": -6.597355, ""It"": -4.159855}, ""sense_words"": {"" aquarium"": -27.127506, "" vehicle"": -28.193058, "" military"": -26.036808, "" fish"": -25.726261, "" water"": -25.205753, "" armored"": -28.526066}}",vehicle,vehicle
